project_name,address,city,zip,units,sources,owner_operator,contact_email,multi_program_overlap
OVAL GROVE APARTMENTS,183 Malikowski Cir,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
OAKWOOD KNOLL,46 Oakwood Knls,Norwich,06360,6,Public_Housing,Norwich Housing Authority,,No
MCCONAUGHY TERRACE,79 E Ramsdell St,New Haven,06515,6,Public_Housing,Housing Authority of the City of New Haven,,No
HOCKANUM PARK,11 Holmes St,East Hartford,06118,6,Public_Housing,East Hartford Housing Authority,,No
WAVERLY TOWNHOUSES,11 Waverly St,New Haven,06511,6,Public_Housing,Housing Authority of the City of New Haven,,No
AUSTIN RD & S END TURNKY,438 Austin Rd,Waterbury,06705,6,Public_Housing,Waterbury Housing Authority,,No
OVAL GROVE APARTMENTS,44 Malikowski Cir,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
William Kelly Apartments,121 Fairmount St,Waterbury,06706,6,Public_Housing,Waterbury Housing Authority,,No
KING KENNEDY HOMES,19A Merritt Pl,Norwalk,06854,6,Public_Housing,Housing Authority Of The City Of Norwalk,,No
OVAL GROVE APARTMENTS,141 Malikowski Cir,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
Brookside Phase I,2 Catherine St,New Haven,06512,6,Public_Housing,Housing Authority of the City of New Haven,,No
KING KENNEDY HOMES,51 Chestnut St,Norwalk,06854,6,Public_Housing,Housing Authority Of The City Of Norwalk,,No
MCCONAUGHY TERRACE,110 S Genesee St,New Haven,06515,6,Public_Housing,Housing Authority of the City of New Haven,,No
OVAL GROVE APARTMENTS,43 Malikowski Cir,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
SBONA TOWERS,29 Traverse Sq,Middletown,06457,6,Public_Housing,Middletown Housing Authority,,No
WESTHILL GARDENS ANNEX,14A McGuire Ln,Manchester,06040,6,Public_Housing,Manchester Housing Authority,,No
WESTVILLE MANOR,100 Wayfarer St,New Haven,06515,6,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,74 S Genesee St,New Haven,06515,6,Public_Housing,Housing Authority of the City of New Haven,,No
OVAL GROVE APARTMENTS,57 Malikowski Cir,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
MCCONAUGHY TERRACE,57 Harper Ave,New Haven,06515,6,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,1813 N Main St,Waterbury,06704,6,Public_Housing,Waterbury Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,510A Trumbull Ave,Bridgeport,06606,6,Public_Housing,Housing Authority of the City of Bridgeport,,No
OAKWOOD KNOLL,62 Oakwood Knls,Norwich,06360,6,Public_Housing,Norwich Housing Authority,,No
HARTFORD SCATTERED SITE I,113 Westland St,Hartford,06120,6,Public_Housing,Housing Authority of the City of Hartford,,No
OVAL GROVE APARTMENTS,15 Dobek Rd,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
TRUMBULL GARDENS TOWNHOUSES,63A Terrace Cir,Bridgeport,06606,6,Public_Housing,Housing Authority of the City of Bridgeport,,No
OVAL GROVE APARTMENTS,194 Malikowski Cir,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
OAKWOOD KNOLL,56 Oakwood Knls,Norwich,06360,6,Public_Housing,Norwich Housing Authority,,No
Catherine McKeen Village,71 Jepson Dr Apt 1,Milford,06460,6,Public_Housing,Milford Redevelopment and Housing Partnership,,No
WESTHILL GARDENS ANNEX,25A House Dr,Manchester,06040,6,Public_Housing,Manchester Housing Authority,,No
OVAL GROVE APARTMENTS,169 Malikowski Cir,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
NELTON COURT,146 Wooster St,Hartford,06120,6,Public_Housing,Housing Authority of the City of Hartford,,No
Greenwoods Garden,11 Greenwoods Ave,Winsted,06098,6,Public_Housing,Winchester Housing Authority,,No
HOCKANUM PARK,29 Holmes St,East Hartford,06118,6,Public_Housing,East Hartford Housing Authority,,No
WESTHILL GARDENS ANNEX,64A Case Dr,Manchester,06040,6,Public_Housing,Manchester Housing Authority,,No
SBONA TOWERS,29 Maplewood Ter,Middletown,06457,6,Public_Housing,Middletown Housing Authority,,No
MASTER CONTRACT - CREATIVE CHOICE,68 Cedar St,Bridgeport,06608,6,Public_Housing,Housing Authority of the City of Bridgeport,,No
OVAL GROVE APARTMENTS,99 Malikowski Cir,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
OAKWOOD KNOLL,21 Oakwood Knls,Norwich,06360,6,Public_Housing,Norwich Housing Authority,,No
OVAL GROVE APARTMENTS,16 Dobek Rd,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
WESTVILLE MANOR,21 Lodge St,New Haven,06515,6,Public_Housing,Housing Authority of the City of New Haven,,No
Catherine McKeen Village,81 Jepson Dr Apt 1,Milford,06460,6,Public_Housing,Milford Redevelopment and Housing Partnership,,No
Catherine McKeen Village,89 Jepson Dr Apt 1,Milford,06460,6,Public_Housing,Milford Redevelopment and Housing Partnership,,No
NELTON COURT,140 Wooster St,Hartford,06120,6,Public_Housing,Housing Authority of the City of Hartford,,No
TRUMBULL GARDENS TOWNHOUSES,50A Terrace Cir,Bridgeport,06606,6,Public_Housing,Housing Authority of the City of Bridgeport,,No
Brookside Phase I,15 Austin St,New Haven,06515,6,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,82 E Ramsdell St,New Haven,06515,6,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,1793 N Main St,Waterbury,06704,6,Public_Housing,Waterbury Housing Authority,,No
OAKWOOD KNOLL,39 Oakwood Knls,Norwich,06360,6,Public_Housing,Norwich Housing Authority,,No
SBONA TOWERS,51 Traverse Sq,Middletown,06457,6,Public_Housing,Middletown Housing Authority,,No
Quinnipiac Terrace Phase I,35 Peck St,New Haven,06513,6,Public_Housing,Housing Authority of the City of New Haven,,No
NELTON COURT,68 Pliny St,Hartford,06120,6,Public_Housing,Housing Authority of the City of Hartford,,No
PERCIVAL C. SMITH TOWERS,77 Vine St,Hartford,06112,6,Public_Housing,Housing Authority of the City of Hartford,,No
CHATHAM COURT,18 Chatham Ct,Portland,06480,6,Public_Housing,Portland Housing Authority,,No
PERCIVAL C. SMITH TOWERS,73 Vine St,Hartford,06112,6,Public_Housing,Housing Authority of the City of Hartford,,No
OVAL GROVE APARTMENTS,113 Malikowski Cir,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
OVAL GROVE APARTMENTS,197 Malikowski Cir,New Britain,06053,6,Public_Housing,Housing Authority of the CIty of New Britain,,No
URSULA PARK TOWNHOUSES,160 Ursula Pl,Stamford,06902,6,Public_Housing,Housing Authority of the City of Stamford,,No
HOCKANUM PARK,101 Mill Rd,East Hartford,06118,6,Public_Housing,East Hartford Housing Authority,,No
Brookside Phase I,28 Catherine St,New Haven,06512,6,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,255 Nichols St,Bridgeport,06608,6,Public_Housing,Housing Authority of the City of Bridgeport,,No
OAKWOOD KNOLL,10 Oakwood Knls,Norwich,06360,6,Public_Housing,Norwich Housing Authority,,No
Catherine McKeen Village,85 Jepson Dr Apt 1,Milford,06460,6,Public_Housing,Milford Redevelopment and Housing Partnership,,No
URSULA PARK TOWNHOUSES,162 Ursula Pl,Stamford,06902,6,Public_Housing,Housing Authority of the City of Stamford,,No
William Kelly Apartments,119 Fairmount St,Waterbury,06706,6,Public_Housing,Waterbury Housing Authority,,No
WESTHILL GARDENS ANNEX,9A McGuire Ln,Manchester,06040,6,Public_Housing,Manchester Housing Authority,,No
HAMPSHIRE HEIGHTS,60 Thayer St,Putnam,06260,6,Public_Housing,Putnam Housing Authority,,No
PLEASANT ST HOUSE,306 PLEASANT ST,WILLIMANTIC,06226,5,Section8_Multifamily,"NORTHEAST COMMUNITY HOUSING CORPORATI0N, INC.",jeffrey.beadle@wrccinc.org,No
RELIANCE APARTMENTS,81 Union St,Norwich,06360,5,Section8_Multifamily,"RELIANCE HEALTH, INC.",aoday@reliancehealthinc.org,No
WESTVILLE MANOR,33 Lodge St,New Haven,06515,5,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMBULL GARDENS TOWNHOUSES,410A Trumbull Ave,Bridgeport,06606,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
WESTVILLE MANOR,11 Lodge St,New Haven,06515,5,Public_Housing,Housing Authority of the City of New Haven,,No
OVAL GROVE APARTMENTS,120 Malikowski Cir,New Britain,06053,5,Public_Housing,Housing Authority of the CIty of New Britain,,No
WESTVILLE MANOR,36 Lodge St,New Haven,06515,5,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,240 Cedar St,Bridgeport,06608,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMBULL GARDENS TOWNHOUSES,684A Trumbull Ave,Bridgeport,06606,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
Alan Jepson Manor,174A Harrison Ave,Milford,06460,5,Public_Housing,Milford Redevelopment and Housing Partnership,,No
KING KENNEDY HOMES,36 Fairfield Ave,Norwalk,06854,5,Public_Housing,Housing Authority Of The City Of Norwalk,,No
TRUMBULL GARDENS TOWNHOUSES,390A Trumbull Ave,Bridgeport,06606,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
Quinnipiac Terrace Phase I,12 Beach View Ln,New Haven,06513,5,Public_Housing,Housing Authority of the City of New Haven,,No
ST. ANTHONY II,30 Chamberlain St,New Haven,06512,5,Public_Housing,Housing Authority of the City of New Haven,,No
Quinnipiac Terrace Phase I,1 Peck St,New Haven,06513,5,Public_Housing,Housing Authority of the City of New Haven,,No
OVAL GROVE APARTMENTS,58 Malikowski Cir,New Britain,06053,5,Public_Housing,Housing Authority of the CIty of New Britain,,No
TRUMBULL GARDENS TOWNHOUSES,440A Trumbull Ave,Bridgeport,06606,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
Fairgate,12 Fairgate Dr,Stamford,06902,5,Public_Housing,Housing Authority of the City of Stamford,,No
TRUMBULL GARDENS TOWNHOUSES,476A Trumbull Ave,Bridgeport,06606,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
WESTVILLE MANOR,35 Wayfarer St,New Haven,06515,5,Public_Housing,Housing Authority of the City of New Haven,,No
Quinnipiac Terrace Phase I,2 Beach View Ln,New Haven,06513,5,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMBULL GARDENS TOWNHOUSES,59A Terrace Cir,Bridgeport,06606,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,205 Waterview Ave,Bridgeport,06608,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
Presidential Village,627 Hallett St,Bridgeport,06608,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMBULL GARDENS TOWNHOUSES,337A Trumbull Ave,Bridgeport,06606,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMBULL GARDENS TOWNHOUSES,468A Trumbull Ave,Bridgeport,06606,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
WESTVILLE MANOR,28 Wayfarer St,New Haven,06515,5,Public_Housing,Housing Authority of the City of New Haven,,No
AUSTIN RD & S END TURNKY,20 W Clay St,Waterbury,06706,5,Public_Housing,Waterbury Housing Authority,,No
TRUMAN APTS,1847 N Main St,Waterbury,06704,5,Public_Housing,Waterbury Housing Authority,,No
SCATTERED SITES,12A Tiffany St,Brooklyn,06234,5,Public_Housing,Housing Authority of the Town of Brooklyn,,No
Presidential Village,640 Stillman St,Bridgeport,06608,5,Public_Housing,Housing Authority of the City of Bridgeport,,No
HOCKANUM PARK,57 Elms Village Dr,East Hartford,06118,5,Public_Housing,East Hartford Housing Authority,,No
HARTFORD SCATTERED SITE I,459 Garden St,Hartford,06112,5,Public_Housing,Housing Authority of the City of Hartford,,No
Quinnipiac Terrace Phase I,1 Beach View Ln,New Haven,06513,5,Public_Housing,Housing Authority of the City of New Haven,,No
Quinnipiac Terrace Phase II,1435 Quinnipiac Ave Unit 8,New Haven,06513,5,Public_Housing,Housing Authority of the City of New Haven,,No
BRISTOL GROUP HOMES,97 PECK LN,BRISTOL,06010,4,Section8_Multifamily,Bristol Adult Resource Center,metter@bristolarc.org,No
"MARCH, INC.",636 EAST MIDDLE TURNPIKE,MANCHESTER,06040,4,Section8_Multifamily,"MARCH, Inc. of Manchester",CMoir@marchinc.org,No
Hart Street Apartments,64 Hart St,New Britain,06052,4,Section8_Multifamily,NHSNB Hart LLC,csanders@nhsnb.org,No
PERCIVAL C. SMITH TOWERS,81 Vine St,Hartford,06112,4,Public_Housing,Housing Authority of the City of Hartford,,No
TRUMBULL GARDENS TOWNHOUSES,61A Terrace Cir,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
BONNIE ACRES,44 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
AUSTIN RD & S END TURNKY,147 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
HAMPSHIRE HEIGHTS,106 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
HAMPSHIRE HEIGHTS,74 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
MAYFAIR GARDENS,243A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
Brookside Phase I,22 Catherine St,New Haven,06512,4,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,55 Prince St,Bridgeport,06610,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
HOCKANUM PARK,34 Mill Rd,East Hartford,06118,4,Public_Housing,East Hartford Housing Authority,,No
New Nelton Court,26 Acton St,Hartford,06120,4,Public_Housing,Housing Authority of the City of Hartford,,No
HAMPSHIRE HEIGHTS,61 Phillips St,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
GREENWICH CLOSE,30 Brookside Dr,Greenwich,06830,4,Public_Housing,Greenwich Housing Authority,,No
BONNIE ACRES,99 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,620A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMBULL GARDENS TOWNHOUSES,589A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
WESTVILLE MANOR,20 Lodge St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,434 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
HOCKANUM PARK,20 Elms Village Dr,East Hartford,06118,4,Public_Housing,East Hartford Housing Authority,,No
Alan Jepson Manor,156A Harrison Ave,Milford,06460,4,Public_Housing,Milford Redevelopment and Housing Partnership,,No
AUSTIN RD & S END TURNKY,184 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
AUSTIN RD & S END TURNKY,151 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
MASTER CONTRACT - CREATIVE CHOICE,80 Cedar St,Bridgeport,06608,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
WAVERLY TOWNHOUSES,35 Waverly St,New Haven,06511,4,Public_Housing,Housing Authority of the City of New Haven,,No
OAKWOOD KNOLL,1 Oakwood Knls,Norwich,06360,4,Public_Housing,Norwich Housing Authority,,No
MCCONAUGHY TERRACE,162 S Genesee St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
HAMPSHIRE HEIGHTS,71 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
HAMPSHIRE HEIGHTS,64 Laconia Ct,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
BONNIE ACRES,33 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
HAMPSHIRE HEIGHTS,56 Phillips St,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
OAKWOOD KNOLL,52 Oakwood Knls,Norwich,06360,4,Public_Housing,Norwich Housing Authority,,No
HOCKANUM PARK,42 Mill Rd,East Hartford,06118,4,Public_Housing,East Hartford Housing Authority,,No
AUSTIN RD & S END TURNKY,159 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
MCCONAUGHY TERRACE,21 S Genesee St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
MAYFAIR GARDENS,263A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
BONNIE ACRES,41 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
MCCONAUGHY TERRACE,556 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMBULL GARDENS TOWNHOUSES,57A Terrace Cir,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
HAMPSHIRE HEIGHTS,37 Thayer St,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
New Nelton Court,34 Acton St,Hartford,06120,4,Public_Housing,Housing Authority of the City of Hartford,,No
MASTER CONTRACT - CREATIVE CHOICE,38 McKinley Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
Brookside Phase I,8 Catherine St,New Haven,06512,4,Public_Housing,Housing Authority of the City of New Haven,,No
HARTFORD SCATTERED SITE I,15 Harrison St,Hartford,06112,4,Public_Housing,Housing Authority of the City of Hartford,,No
HARTFORD SCATTERED SITE I,275 Bellevue St,Hartford,06120,4,Public_Housing,Housing Authority of the City of Hartford,,No
Lewis Circle Apartments,14 Lewis Cir,Naugatuck,06770,4,Public_Housing,Naugatuck Housing Authority,,No
Alan Jepson Manor,164A Harrison Ave,Milford,06460,4,Public_Housing,Milford Redevelopment and Housing Partnership,,No
CAMBRIDGE PARK,31 Davis Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
BONNIE ACRES,100 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
CAMBRIDGE PARK,102 Davis Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
MASTER CONTRACT - CREATIVE CHOICE,260 Cedar St,Bridgeport,06608,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
BONNIE ACRES,108 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
WESTVILLE MANOR,20 Wayfarer St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
BOSTON COMMONS,151A Catherine St,Bridgeport,06604,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
HAMPSHIRE HEIGHTS,12 Hanley St,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
CAMBRIDGE PARK,196 Jerome Ave,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
Franklin Park East,29 Franklin Park E,Rockville,06066,4,Public_Housing,Vernon Housing Authority,,No
Franklin D. Roosevelt Apartments,88 Kearney Dr,Waterbury,06704,4,Public_Housing,Waterbury Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,407A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
BONNIE ACRES,91 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
SBONA TOWERS,9 Maplewood Ter,Middletown,06457,4,Public_Housing,Middletown Housing Authority,,No
Elderly and Bond Street,272 Rocky Hill Ave,New Britain,06051,4,Public_Housing,Housing Authority of the CIty of New Britain,,No
TRUMAN APTS,1725 N Main St,Waterbury,06704,4,Public_Housing,Waterbury Housing Authority,,No
WAVERLY TOWNHOUSES,234 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
WAVERLY TOWNHOUSES,80 Day St,New Haven,06511,4,Public_Housing,Housing Authority of the City of New Haven,,No
HAMPSHIRE HEIGHTS,101 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
Alan Jepson Manor,168A Harrison Ave,Milford,06460,4,Public_Housing,Milford Redevelopment and Housing Partnership,,No
HAMPSHIRE HEIGHTS,51 Phillips St,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
MCCONAUGHY TERRACE,81 S Genesee St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
HAMPSHIRE HEIGHTS,116 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
AUSTIN RD & S END TURNKY,163 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
BONNIE ACRES,107 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
Franklin Park East,41 Franklin Park E,Rockville,06066,4,Public_Housing,Vernon Housing Authority,,No
CAMBRIDGE PARK,134 Davis Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
MAYFAIR GARDENS,255A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
MAYFAIR GARDENS,279A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
HARTFORD SCATTERED SITE I,234 Mather St,Hartford,06112,4,Public_Housing,Housing Authority of the City of Hartford,,No
TRUMBULL GARDENS TOWNHOUSES,635A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
Quinnipiac Terrace Phase II,1435 Quinnipiac Ave Unit 1,New Haven,06513,4,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,93 S Genesee St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
Fairgate,11 Fairgate Dr,Stamford,06902,4,Public_Housing,Housing Authority of the City of Stamford,,No
OAKWOOD KNOLL,68 Oakwood Knls,Norwich,06360,4,Public_Housing,Norwich Housing Authority,,No
Greenwoods Garden,7 Greenwoods Ave,Winsted,06098,4,Public_Housing,Winchester Housing Authority,,No
WAVERLY TOWNHOUSES,218 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
Alan Jepson Manor,170A Harrison Ave,Milford,06460,4,Public_Housing,Milford Redevelopment and Housing Partnership,,No
CAMBRIDGE PARK,158 Davis Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
AUSTIN RD & S END TURNKY,540 Baldwin St,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
BONNIE ACRES,115 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
TRUMAN APTS,1801 N Main St,Waterbury,06704,4,Public_Housing,Waterbury Housing Authority,,No
MAYFAIR GARDENS,283A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
MCCONAUGHY TERRACE,542 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,101 S Genesee St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
HAMPSHIRE HEIGHTS,151 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
AUSTIN RD & S END TURNKY,178 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
Quinnipiac Terrace Phase III,177 Downing St,New Haven,06513,4,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,160 S Genesee St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
WAVERLY TOWNHOUSES,27 Waverly St,New Haven,06511,4,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,560 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
CAMBRIDGE PARK,94 Davis Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
Lewis Circle Apartments,50 Lewis Cir,Naugatuck,06770,4,Public_Housing,Naugatuck Housing Authority,,No
Elderly and Bond Street,8 Halsey Rd,New Britain,06051,4,Public_Housing,Housing Authority of the CIty of New Britain,,No
TRUMBULL GARDENS TOWNHOUSES,444A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
Quinnipiac Terrace Phase II,406 Front St,New Haven,06513,4,Public_Housing,Housing Authority of the City of New Haven,,No
MAYFAIR GARDENS,219A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
Elderly and Bond Street,65 Pike St,New Britain,06051,4,Public_Housing,Housing Authority of the CIty of New Britain,,No
MAYFAIR GARDENS,275A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
OAKWOOD KNOLL,17 Oakwood Knls,Norwich,06360,4,Public_Housing,Norwich Housing Authority,,No
WAVERLY TOWNHOUSES,266 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
BONNIE ACRES,116 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,610A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
BOSTON COMMONS,251 Harral Ave,Bridgeport,06604,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
Franklin Park East,5 Franklin Park E,Rockville,06066,4,Public_Housing,Vernon Housing Authority,,No
HAMPSHIRE HEIGHTS,113 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
Lewis Circle Apartments,58 Lewis Cir,Naugatuck,06770,4,Public_Housing,Naugatuck Housing Authority,,No
CAMBRIDGE PARK,113 Davis Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
HAMPSHIRE HEIGHTS,91 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,530A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
MAYFAIR GARDENS,247A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
Quinnipiac Terrace Phase III,48 Peck St,New Haven,06513,4,Public_Housing,Housing Authority of the City of New Haven,,No
MAYFAIR GARDENS,251A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
Alan Jepson Manor,162A Harrison Ave,Milford,06460,4,Public_Housing,Milford Redevelopment and Housing Partnership,,No
Nelson Street,13 Nelson St,Hartford,06120,4,Public_Housing,Housing Authority of the City of Hartford,,No
AUSTIN RD & S END TURNKY,148 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,625A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
HOCKANUM PARK,18 Mill Rd,East Hartford,06118,4,Public_Housing,East Hartford Housing Authority,,No
TRUMAN APTS,1791 N Main St,Waterbury,06704,4,Public_Housing,Waterbury Housing Authority,,No
MAYFAIR GARDENS,287A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
HOCKANUM PARK,42 Elms Village Dr,East Hartford,06118,4,Public_Housing,East Hartford Housing Authority,,No
AUSTIN RD & S END TURNKY,144 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
HAMPSHIRE HEIGHTS,47 Thayer St,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
CAMBRIDGE PARK,93 Davis Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
Quinnipiac Terrace Phase I,49 Peck St,New Haven,06513,4,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMBULL GARDENS TOWNHOUSES,15A Terrace Cir,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
